Ref,Val,Package,PosX,PosY,Rot,Side
"R14","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",167.639000,-70.581000,-90.000000,top
"R16","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.845000,-70.597000,-90.000000,top
"TP3","TP_5V","TestPoint_Keystone_5000-5004_Miniature",143.128000,-111.053000,90.000000,top
"TP5","3v3","TestPoint_Keystone_5000-5004_Miniature",149.859000,-81.646000,0.000000,top
"TP6","SCL","TestPoint_Keystone_5000-5004_Miniature",144.144000,-69.962000,0.000000,top
"TP7","TP_GND","TestPoint_Keystone_5000-5004_Miniature",139.699000,-111.053000,90.000000,top
"TP10","SDA","TestPoint_Keystone_5000-5004_Miniature",144.144000,-66.476000,0.000000,top
"TP11","Tx","TestPoint_Keystone_5000-5004_Miniature",143.255000,-79.360000,0.000000,top
"TP12","Rx","TestPoint_Keystone_5000-5004_Miniature",143.255000,-76.058000,0.000000,top
"U2","INA180","SOT-23-5_HandSoldering",161.318000,-84.008000,180.000000,top
"U3","TLV62568ADRLR","DRL0006A",155.341999,-79.994997,180.000000,top
"U5","LSM6DSV32X","LGA-14L_2p5X3p0X0p86_STM",154.941000,-101.327000,-90.000000,top
